 -0.614428121815D+01 -0.113127714841D+01      0.469800      0.003784  17  16  17  18
 -0.788743173929D+01 -0.755867708214D+00      0.104187      0.000546  18  17   2   1
 -0.716902848858D+01 -0.727450936687D+00      0.152003      0.001104  18  17   4   3
 -0.668957193617D+01 -0.699846230000D+00      0.198199      0.001758  18  17   6   5
 -0.629888754236D+01 -0.672586364269D+00      0.243917      0.002562  18  17   8   7
 -0.594083885915D+01 -0.644998404562D+00      0.290951      0.003614  18  17  10   9
 -0.557805917339D+01 -0.616051756889D+00      0.342009      0.005118  18  17  12  11
 -0.516383617004D+01 -0.583948880592D+00      0.401235      0.007617  18  17  14  13
 -0.457908585619D+01 -0.544534778789D+00      0.474951      0.013394  18  17  16  15
 -0.473510132275D+01 -0.568347722664D+00      0.413089      0.011603  18  17  18  17
 -0.913430299004D+01 -0.800710150245D+00      0.028164      0.000161  18  17   0   1
 -0.783271152889D+01 -0.832388861073D+00      0.025557      0.000600  18  17   2   3
 -0.732844915228D+01 -0.865642286459D+00      0.081403      0.001011  18  17   4   5
 -0.701504063537D+01 -0.900533054960D+00      0.138799      0.001408  18  17   6   7
 -0.678842539165D+01 -0.937083481779D+00      0.196957      0.001799  18  17   8   9
 -0.661081614369D+01 -0.975294964886D+00      0.254928      0.002192  18  17  10  11
 -0.646438759378D+01 -0.101517949974D+01      0.311658      0.002589  18  17  12  13
 -0.633957323482D+01 -0.105682746612D+01      0.366032      0.002997  18  17  14  15
 -0.623122690401D+01 -0.110062814812D+01      0.416899      0.003415  18  17  16  17
 -0.614613291625D+01 -0.115286461356D+01      0.461968      0.003818  18  17  18  19
 -0.861522217896D+01 -0.769698333123D+00      0.079064      0.000266  19  18   1   0
 -0.757757146346D+01 -0.740130089314D+00      0.126701      0.000739  19  18   3   2
 -0.701979333402D+01 -0.711534757457D+00      0.172464      0.001271  19  18   5   4
 -0.660528490910D+01 -0.683555037425D+00      0.217101      0.001897  19  18   7   6
 -0.625053035871D+01 -0.655684256477D+00      0.261913      0.002666  19  18   9   8
 -0.591584932338D+01 -0.627190171886D+00      0.308925      0.003672  19  18  11  10
 -0.556999450272D+01 -0.596947478295D+00      0.361215      0.005109  19  18  13  12
 -0.516915722814D+01 -0.562989031946D+00      0.423605      0.007496  19  18  15  14
 -0.459607761260D+01 -0.520774571954D+00      0.503987      0.013010  19  18  17  16
 -0.475293582370D+01 -0.546351176316D+00      0.437034      0.011271  19  18  19  18
 -0.834832058116D+01 -0.816393014377D+00      0.003536      0.000355  19  18   1   2
 -0.762172356466D+01 -0.849294583882D+00      0.049318      0.000747  19  18   3   4
 -0.723025184655D+01 -0.883696173852D+00      0.103620      0.001125  19  18   5   6
 -0.696301540610D+01 -0.919611781561D+00      0.158642      0.001497  19  18   7   8
 -0.676002778454D+01 -0.957020586849D+00      0.213495      0.001870  19  18   9  10
 -0.659580791133D+01 -0.995885642289D+00      0.267183      0.002248  19  18  11  12
 -0.645730046240D+01 -0.103618385610D+01      0.318648      0.002635  19  18  13  14
 -0.633714001799D+01 -0.107796948888D+01      0.366807      0.003036  19  18  15  16
 -0.623126115892D+01 -0.112157910233D+01      0.410519      0.003450  19  18  17  18
 -0.614578391023D+01 -0.117282083361D+01      0.446639      0.003857  19  18  19  20
 -0.807190712968D+01 -0.753812105052D+00      0.101650      0.000454  20  19   2   1
 -0.736813338880D+01 -0.724263233450D+00      0.146747      0.000903  20  19   4   3
 -0.690664084881D+01 -0.695519047336D+00      0.190334      0.001412  20  19   6   5
 -0.653906294411D+01 -0.667192476093D+00      0.233281      0.002010  20  19   8   7
 -0.621267595852D+01 -0.638734225971D+00      0.277050      0.002746  20  19  10   9
 -0.589746874736D+01 -0.609348648586D+00      0.323906      0.003707  20  19  12  11
 -0.556626678007D+01 -0.577809415293D+00      0.377320      0.005079  20  19  14  13
 -0.517737360155D+01 -0.541968068644D+00      0.442831      0.007356  20  19  16  15
 -0.461499330333D+01 -0.496870757468D+00      0.530031      0.012612  20  19  18  17
 -0.477241632150D+01 -0.524261754880D+00      0.457902      0.010930  20  19  20  19
 -0.930089993376D+01 -0.800206509514D+00      0.030404      0.000136  20  19   0   1
 -0.798923000851D+01 -0.832746184365D+00      0.019395      0.000513  20  19   2   3
 -0.747591773997D+01 -0.866664586173D+00      0.070564      0.000873  20  19   4   5
 -0.715422802926D+01 -0.901976042301D+00      0.122439      0.001226  20  19   6   7
 -0.691989814005D+01 -0.938652185482D+00      0.174194      0.001579  20  19   8   9
 -0.673496347845D+01 -0.976635813144D+00      0.224893      0.001936  20  19  10  11
 -0.658140875587D+01 -0.101585884512D+01      0.273541      0.002303  20  19  12  13
 -0.644938993246D+01 -0.105627062062D+01      0.319129      0.002683  20  19  14  15
 -0.633312286494D+01 -0.109789695736D+01      0.360638      0.003078  20  19  16  17
 -0.622934814302D+01 -0.114102966416D+01      0.396991      0.003490  20  19  18  19
 -0.614356073348D+01 -0.119102089814D+01      0.424381      0.003900  20  19  20  21
 -0.878429989150D+01 -0.768317176736D+00      0.077502      0.000224  21  20   1   0
 -0.775873551769D+01 -0.737887533000D+00      0.121620      0.000616  21  20   3   2
 -0.721532811740D+01 -0.708387213288D+00      0.164080      0.001044  21  20   5   4
 -0.681851822256D+01 -0.679523982866D+00      0.205379      0.001530  21  20   7   6
 -0.648658720099D+01 -0.650878628547D+00      0.246512      0.002101  21  20   9   8
 -0.618325034136D+01 -0.621856476506D+00      0.289107      0.002804  21  20  11  10
 -0.588458405642D+01 -0.591594687123D+00      0.335676      0.003721  21  20  13  12
 -0.556624456814D+01 -0.558759781701D+00      0.390093      0.005031  21  20  15  14
 -0.518812412168D+01 -0.521010194735D+00      0.458663      0.007201  21  20  17  16
 -0.463563886864D+01 -0.472949167700D+00      0.552806      0.012205  21  20  19  18
 -0.479338779203D+01 -0.502203135615D+00      0.475440      0.010585  21  20  21  20
 -0.850219543586D+01 -0.816105542174D+00      0.008094      0.000305  21  20   1   2
 -0.776684311345D+01 -0.849535104467D+00      0.039899      0.000647  21  20   3   4
 -0.736741474208D+01 -0.884252855166D+00      0.088604      0.000981  21  20   5   6
 -0.709283378002D+01 -0.920230824307D+00      0.137256      0.001315  21  20   7   8
 -0.688296308083D+01 -0.957405112748D+00      0.184978      0.001653  21  20   9  10
 -0.671218360418D+01 -0.995689269957D+00      0.230836      0.002000  21  20  11  12
 -0.656728516755D+01 -0.103499138507D+01      0.273883      0.002358  21  20  13  14
 -0.644066697549D+01 -0.107524052716D+01      0.313189      0.002732  21  20  15  16
 -0.632771010437D+01 -0.111644128676D+01      0.347835      0.003123  21  20  17  18
 -0.622576743611D+01 -0.115884822208D+01      0.376827      0.003533  21  20  19  20
 -0.613975735500D+01 -0.120738052433D+01      0.395880      0.003945  21  20  21  22
 -0.823814642106D+01 -0.752246067697D+00      0.097623      0.000384  22  21   2   1
 -0.754622086392D+01 -0.722036189772D+00      0.138779      0.000755  22  21   4   3
 -0.709885778919D+01 -0.692613544118D+00      0.178516      0.001164  22  21   6   5
 -0.674872695067D+01 -0.663660649383D+00      0.217429      0.001627  22  21   8   7
 -0.644489168475D+01 -0.634724198486D+00      0.256635      0.002173  22  21  10   9
 -0.616071991755D+01 -0.605161728060D+00      0.297930      0.002844  22  21  12  11
 -0.587632948668D+01 -0.574039707159D+00      0.344077      0.003719  22  21  14  13
 -0.556941676234D+01 -0.539911570679D+00      0.399369      0.004967  22  21  16  15
 -0.520110526575D+01 -0.500230807157D+00      0.470912      0.007034  22  21  18  17
 -0.465784346817D+01 -0.449127526737D+00      0.572086      0.011794  22  21  20  19
 -0.481571065478D+01 -0.480290440558D+00      0.489456      0.010238  22  21  22  21
 -0.945230014059D+01 -0.799478884112D+00      0.032929      0.000117  22  21   0   1
 -0.813212971748D+01 -0.832407215493D+00      0.013340      0.000445  22  21   2   3
 -0.761113285532D+01 -0.866529914888D+00      0.057356      0.000762  22  21   4   5
 -0.728239674716D+01 -0.901824117201D+00      0.102890      0.001078  22  21   6   7
 -0.704152145625D+01 -0.938226485123D+00      0.147632      0.001397  22  21   8   9
 -0.685042758735D+01 -0.975644665171D+00      0.190702      0.001724  22  21  10  11
 -0.669099042598D+01 -0.101397007760D+01      0.231210      0.002061  22  21  12  13
 -0.655323784089D+01 -0.105309397171D+01      0.268286      0.002413  22  21  14  15
 -0.643118431384D+01 -0.109293186528D+01      0.301103      0.002782  22  21  16  17
 -0.632108824232D+01 -0.113347357210D+01      0.328860      0.003170  22  21  18  19
 -0.622077513513D+01 -0.117494314569D+01      0.350665      0.003578  22  21  20  21
 -0.613463830772D+01 -0.122185233042D+01      0.362966      0.003993  22  21  22  23
 -0.893788951590D+01 -0.767167352661D+00      0.075270      0.000192  23  22   1   0
 -0.792231494886D+01 -0.736324065339D+00      0.114859      0.000522  23  22   3   2
 -0.739053382356D+01 -0.706360843475D+00      0.152993      0.000875  23  22   5   4
 -0.700762519256D+01 -0.677044329291D+00      0.189935      0.001265  23  22   7   6
 -0.669290015224D+01 -0.648030360686D+00      0.226376      0.001707  23  22   9   8
 -0.641185125477D+01 -0.618829935811D+00      0.263553      0.002228  23  22  11  10
 -0.614391766853D+01 -0.588750703811D+00      0.303429      0.002868  23  22  13  12
 -0.587201686765D+01 -0.556785216464D+00      0.349019      0.003703  23  22  15  14
 -0.557536221576D+01 -0.521368092805D+00      0.405043      0.004892  23  22  17  16
 -0.521605798369D+01 -0.479736046340D+00      0.479449      0.006859  23  22  19  18
 -0.468145475950D+01 -0.425515029811D+00      0.587703      0.011383  23  22  21  20
 -0.483925790541D+01 -0.458629825487D+00      0.499812      0.009891  23  22  23  22
 -0.864299364450D+01 -0.815378185291D+00      0.013415      0.000265  23  22   1   2
